2,178,772.64,2016-09-27,2016-06-20
4,300,30.43,2016-08-07,2015-02-22
5,173,1.65,2016-05-30,2016-01-15
6,234,21.87,2016-05-17,2015-03-14
7,295,2.79,2016-06-12,2016-02-04
9,5,827.36,2015-08-06,2015-01-20
11,127,61.93,2016-08-06,2015-04-06
12,188,235.54,2016-08-13,2015-08-09
14,122,1.61,2016-04-11,2015-12-06
15,183,708.54,2016-02-20,2015-05-06
17,193,6.74,2016-04-10,2015-08-26
18,254,39.17,2016-04-18,2016-02-08
19,15,65.65,2016-01-31,2015-10-13
21,249,308.95,2016-09-23,2015-02-06
22,10,931.83,2015-12-24,2015-01-21
29,137,580.67,2016-08-11,2015-01-24
32,20,860.93,2016-08-20,2016-02-02
33,269,7.64,2016-08-21,2015-04-30
34,30,26.60,2016-03-12,2015-01-08
37,25,511.70,2016-07-24,2015-06-04
39,147,836.90,2016-09-16,2015-05-26
40,208,10.43,2016-07-15,2015-05-04
41,157,375.90,2016-09-14,2016-06-15
42,218,123.46,2015-01-16,2015-01-04
45,213,1.96,2015-04-24,2015-04-23
46,274,54.86,2016-04-07,2015-09-20
48,96,92.63,2016-07-27,2016-03-17
49,45,316.38,2015-05-19,2015-02-14
50,106,958.75,2016-07-09,2015-04-03
53,101,66.13,2016-04-24,2016-02-03
55,223,7.70,2016-05-13,2015-07-07
58,294,850.48,2015-12-25,2015-12-21
59,55,357.79,2015-06-04,2015-03-20
61,289,15.90,2015-10-31,2015-03-21
62,50,1.41,2016-09-27,2016-05-30
65,121,1.10,2016-03-01,2015-07-28
66,182,3.31,2016-04-13,2015-03-13
68,4,571.77,2016-09-11,2015-09-28
69,177,1.93,2015-05-30,2015-02-13
70,238,1.97,2016-02-19,2015-03-29
72,60,429.31,2015-04-05,2015-01-24
76,192,592.40,2015-09-27,2015-07-28
78,126,1.77,2016-01-11,2015-03-11
79,187,865.33,2016-08-26,2016-01-26
81,197,626.46,2015-08-03,2015-03-30
84,80,1.90,2016-05-03,2015-12-04
85,253,78.84,2016-04-12,2016-01-19
86,14,12.54,2016-05-04,2015-02-21
88,136,6.51,2016-01-07,2015-09-28
89,85,153.71,2016-02-01,2015-12-29
96,24,111.30,2016-03-14,2015-11-23
98,34,752.80,2016-08-12,2015-03-07
101,29,661.39,2015-11-21,2015-02-21
103,151,13.36,2016-08-10,2016-05-01
105,161,693.47,2016-09-29,2015-09-21
106,222,966.45,2016-03-18,2015-06-28
107,283,70.13,2016-05-26,2015-07-03
110,278,102.33,2016-09-26,2016-09-14
115,171,910.16,2016-09-27,2015-08-30
116,232,364.78,2016-08-07,2015-06-16
117,105,460.11,2016-04-02,2015-05-01
118,166,379.27,2016-08-26,2015-01-29
120,288,2.33,2015-06-25,2015-02-19
121,237,627.56,2015-06-12,2015-01-17
122,298,48.92,2015-12-08,2015-10-20
123,59,9.85,2016-04-18,2015-08-30
126,54,40.35,2015-05-27,2015-02-11
128,176,15.71,2016-01-29,2015-10-17
130,186,1.23,2015-06-26,2015-05-24
134,242,7.63,2016-02-28,2015-02-07
135,3,689.74,2015-07-21,2015-01-01
136,64,330.30,2016-08-05,2015-07-18
141,69,1.62,2016-03-27,2016-02-08
143,191,8.30,2015-08-13,2015-07-19
145,201,128.23,2016-09-06,2015-04-17
146,262,1.39,2016-04-19,2015-02-28
147,23,214.63,2016-04-27,2015-08-27
149,257,186.33,2016-01-03,2015-07-15
150,18,95.24,2016-03-25,2015-06-15
151,79,1.41,2016-04-11,2015-09-10
157,145,18.83,2016-08-06,2015-11-09
158,206,3.52,2015-02-13,2015-01-17
159,267,404.49,2015-06-17,2015-03-09
160,28,901.67,2015-11-04,2015-10-03
161,277,807.40,2016-01-28,2015-01-11
162,38,349.33,2015-12-24,2015-08-03
163,99,182.15,2015-05-25,2015-02-23
165,33,75.43,2015-03-16,2015-02-07
166,94,1.39,2016-01-29,2015-08-07
170,226,1.74,2016-07-21,2015-03-16
171,287,1.93,2015-11-28,2015-08-13
172,48,13.64,2016-07-23,2015-10-21
173,221,1.51,2016-08-19,2016-01-28
175,43,29.24,2016-05-27,2016-03-24
177,53,280.55,2015-11-25,2015-02-18
180,236,11.97,2015-05-13,2015-02-10
181,109,9.88,2016-09-09,2015-07-10
182,170,269.63,2016-07-26,2016-06-30
183,231,9.96,2015-04-03,2015-02-06
184,292,695.74,2016-04-05,2016-01-24
188,124,42.74,2016-07-27,2016-02-27
190,58,30.21,2016-07-04,2016-03-12
192,180,61.20,2016-07-28,2016-01-25
193,129,16.78,2016-05-26,2016-01-18
194,190,256.54,2016-01-09,2015-01-18
195,251,365.13,2016-07-17,2016-05-09
196,12,224.57,2015-11-01,2015-09-14
200,68,1.43,2016-09-12,2015-06-09
