195,255.01
171,769.37
120,599.05
8,618.81
138,168.24
190,1175.19
179,718.50
54,296.63
103,1313.80
110,837.17
175,38.06
99,205.25
46,1145.52
48,582.16
28,762.48
83,407.15
36,1339.93
151,791.00
77,376.68
162,185.51
30,304.27
4,1151.51
119,1918.61
153,672.49
200,1512.63
95,330.12
56,1907.11
182,270.18
40,1124.95
62,86.43
123,1169.77
180,0.90
92,118.59
23,815.76
127,1064.09
44,1122.94
82,450.39
25,117.73
1,361.74
26,287.92
189,611.52
168,1146.35
196,916.95
13,845.42
22,198.09
91,849.89
45,124.38
27,1372.65
60,215.98
149,891.81
93,563.24
105,1239.31
97,233.05
152,26.12
75,515.99
124,423.63
5,48.80
187,869.82
181,561.36
114,1301.51
43,450.69
191,1993.73
11,581.42
166,2545.67
126,956.89
194,172.61
112,1423.27
61,569.31
176,679.44
178,910.25
87,101.04
169,683.54
14,785.19
107,750.17
17,784.74
66,106.09
147,257.98
121,186.95
33,61.46
108,867.70
19,274.34
157,1349.21
154,210.68
57,657.64
109,1416.58
51,543.61
31,837.14
65,1288.23
35,1698.31
76,135.72
52,206.48
69,10.86
85,2004.81
173,909.39
34,381.68
188,589.34
79,673.08
164,31.62
90,377.55
134,958.68
18,1893.11
78,1712.83
139,106.81
146,1454.56
192,6.85
143,1010.27
193,1145.18
133,2460.93
167,49.25
158,472.29
113,233.83
63,483.88
183,30.17
24,175.64
184,80.61
64,364.35
55,233.35
84,1716.44
145,52.51
118,250.08
88,328.87
130,8.47
128,941.07
38,397.69
198,749.95
74,1283.94
163,302.09
6,302.37
102,1345.10
159,558.38
72,779.73
41,618.97
177,576.66
141,975.63
7,881.67
