195,2016-02-18,2.95
11,2016-06-17,3.04
154,2016-06-21,2540.64
73,2016-04-06,467.54
107,2015-05-12,5539.00
281,2016-04-12,7076.50
16,2016-08-30,290.99
225,2015-10-10,2301.52
200,2015-03-16,3311.69
98,2015-01-10,6343.24
163,2015-06-15,259.81
88,2015-12-09,2221.73
260,2015-12-02,1159.06
17,2016-04-27,32.92
83,2016-04-24,318.06
42,2016-02-19,522.72
169,2016-07-03,1.35
245,2016-07-23,1199.99
47,2015-07-23,6122.10
276,2016-05-03,544.37
133,2016-06-01,2031.92
220,2015-12-26,716.33
204,2016-05-27,6900.94
77,2015-05-01,1408.59
286,2016-06-09,1938.62
112,2015-08-02,317.48
134,2016-02-04,900.78
256,2015-09-28,2070.35
144,2016-01-08,291.37
103,2016-06-24,927.48
275,2015-01-04,959.22
210,2015-12-02,566.92
229,2015-04-19,1540.77
37,2015-05-18,29.93
271,2015-02-09,1463.98
205,2016-09-13,1527.98
285,2016-07-14,2081.89
108,2015-03-26,1574.22
128,2015-12-07,3963.01
261,2015-07-30,1892.12
194,2016-06-20,22.42
82,2015-05-22,81.25
209,2015-10-26,770.07
21,2016-02-26,1211.85
240,2016-02-14,1368.09
26,2015-10-17,4241.09
52,2015-05-29,17.08
32,2015-07-18,848.25
296,2015-11-18,6155.96
46,2016-01-26,711.10
67,2016-08-08,1120.43
102,2015-11-27,58.77
87,2015-08-14,1511.20
118,2015-03-23,805.87
22,2016-03-15,101.12
164,2016-04-29,5746.96
270,2015-04-23,4299.74
123,2015-11-03,133.12
149,2015-12-02,1228.71
159,2015-04-11,6877.30
255,2015-08-22,94.23
224,2015-02-21,1157.48
280,2015-09-28,927.42
1,2015-05-26,558.07
93,2016-02-25,405.71
265,2015-05-17,313.40
179,2015-06-30,782.35
184,2015-11-16,2391.62
27,2015-08-16,250.49
153,2016-04-30,1908.65
266,2016-01-24,498.32
92,2016-05-05,1668.60
31,2015-01-11,1072.96
139,2015-03-07,4245.62
215,2016-05-09,595.44
97,2016-06-03,354.16
113,2016-05-16,3311.07
158,2015-05-20,548.65
72,2015-11-02,5227.19
219,2015-05-24,3226.25
143,2016-07-26,3469.41
199,2015-04-02,1248.18
138,2015-09-29,2920.81
62,2016-01-12,3038.56
189,2016-01-27,1127.53
174,2016-08-02,1664.85
168,2015-10-02,434.12
57,2016-05-10,2194.05
41,2016-02-07,1077.65
78,2016-05-03,7222.19
6,2016-01-23,1722.40
235,2015-06-24,2269.51
290,2015-09-28,974.14
36,2016-08-14,2506.99
291,2016-04-15,3672.13
148,2015-03-19,2776.58
214,2015-12-23,655.68
51,2016-02-10,3130.77
250,2015-09-06,1456.59
