7,2015-12-20,1905.24
286,2015-11-13,1420.23
221,2015-01-16,2021.29
234,2015-08-04,459.75
45,2015-01-15,39.08
11,2015-12-10,1221.29
168,2015-08-13,2378.37
116,2016-09-11,528.11
294,2016-08-04,1029.89
189,2015-04-14,1680.43
227,2015-06-09,238.49
273,2016-08-26,291.93
38,2015-10-27,22.11
228,2016-01-26,1418.50
31,2015-07-31,3529.11
138,2016-07-12,847.43
241,2015-07-08,872.71
202,2015-07-06,1707.42
97,2015-08-13,2043.63
150,2015-09-05,783.18
50,2015-01-01,2004.31
233,2015-09-19,638.82
177,2015-11-29,1155.11
260,2015-01-19,44.96
207,2015-11-09,1006.71
25,2015-07-27,2370.59
267,2016-06-16,1236.79
6,2015-10-11,1031.93
216,2015-12-25,1498.88
164,2016-07-09,17.01
190,2015-12-13,187.81
163,2015-12-26,761.35
194,2015-10-12,1213.20
181,2015-05-27,2027.53
254,2016-05-13,1633.08
112,2015-10-23,2139.28
58,2016-03-02,1185.67
175,2016-06-07,968.29
37,2016-04-28,6181.05
280,2015-12-18,3352.47
125,2016-01-24,694.24
5,2016-03-28,773.79
124,2016-07-29,1986.29
188,2016-01-08,3234.62
255,2016-07-24,1202.45
76,2016-02-01,992.60
220,2016-03-10,1359.07
129,2015-04-25,810.52
208,2015-12-18,1638.22
103,2016-05-01,365.46
51,2015-07-06,2597.44
272,2015-10-16,7582.01
32,2015-05-19,2297.15
292,2016-03-01,4298.96
215,2015-06-10,1732.34
142,2016-01-02,1452.24
141,2015-03-07,3677.96
115,2016-03-25,6.08
151,2016-06-02,1144.27
214,2015-11-07,751.72
64,2015-07-10,381.99
128,2015-03-20,522.63
19,2016-07-29,1604.95
77,2015-04-04,2586.32
71,2016-04-07,113.60
242,2015-02-23,881.76
298,2015-11-05,6911.26
266,2015-12-31,288.93
203,2015-06-24,437.73
84,2016-06-08,1149.93
123,2016-08-31,1.25
110,2015-11-07,3018.68
268,2015-04-04,487.93
176,2015-09-06,398.79
247,2015-02-24,48.15
279,2015-07-01,758.82
229,2016-06-02,1253.58
90,2016-03-30,79.04
63,2016-03-28,2305.21
253,2015-09-11,4611.64
281,2015-05-13,1259.73
137,2015-08-17,1421.92
149,2015-09-28,793.49
246,2015-09-25,1237.59
18,2016-02-07,110.08
12,2015-12-06,565.02
162,2015-12-16,166.09
259,2016-04-03,2394.17
136,2015-05-12,2090.68
201,2016-02-15,2705.79
299,2016-03-14,1593.52
155,2015-02-09,231.23
102,2016-03-21,550.62
285,2016-06-01,634.21
240,2016-03-19,59.23
293,2015-10-13,950.04
89,2015-07-30,4585.14
24,2016-03-13,1578.70
154,2015-11-18,4412.45
167,2016-07-18,78.64
