171,147.98
8,261.88
138,69.11
80,2121.10
190,73.72
179,97.42
16,930.55
103,552.40
115,1266.18
148,557.49
175,1.32
46,437.74
28,158.07
36,642.24
174,900.69
15,1048.24
140,5.38
162,590.60
4,226.38
30,734.98
119,611.98
153,519.03
200,972.85
40,151.78
122,572.95
56,1190.37
53,362.29
62,1333.44
123,418.19
92,184.08
180,562.34
23,1593.38
127,516.91
101,667.65
20,775.73
82,1043.93
25,17.63
58,604.09
1,125.60
189,624.21
137,429.48
117,454.09
111,607.76
168,1368.56
136,69.24
86,1210.13
196,943.49
13,1420.98
49,865.73
22,357.17
91,1760.59
70,288.05
45,1340.34
199,9.48
155,287.48
60,888.68
165,1441.44
149,431.32
105,350.34
21,98.32
152,786.27
75,155.78
124,2127.86
5,138.38
187,891.86
114,962.41
43,0.36
191,1019.25
11,420.96
194,59.81
135,1322.55
39,532.13
132,2713.12
112,265.45
3,328.86
131,235.19
61,105.50
176,682.46
96,198.00
67,865.72
178,1421.71
87,604.17
169,875.81
14,22.60
17,3427.40
66,1385.25
147,375.87
160,2371.12
121,216.97
50,132.68
108,634.60
57,9.33
109,5.67
35,900.84
31,676.05
52,404.20
37,934.81
173,693.93
81,506.36
188,410.15
10,1082.62
79,673.20
42,653.75
164,613.69
90,686.74
18,775.03
59,1262.98
146,370.80
139,1126.29
192,1264.60
98,950.14
193,23.65
150,412.66
167,983.25
116,1644.29
172,402.71
63,1185.05
183,150.60
24,2474.72
184,374.33
170,8.21
64,445.04
55,1283.24
118,290.04
130,651.85
38,1286.55
198,321.84
74,1737.40
163,1356.12
6,1560.92
102,2.86
71,385.84
29,1036.23
2,206.53
41,672.78
186,959.57
177,1230.66
141,113.55
144,1921.72
