79,2016-02-02,1,2016-05-06
86,2015-12-12,2,2016-07-14
176,2015-09-07,8,2016-06-17
158,2016-03-02,10,2016-08-03
78,2015-11-24,14,2016-04-07
85,2016-07-25,15,2016-07-31
200,2016-05-21,20,2016-07-03
157,2015-07-28,23,2016-01-26
102,2015-02-07,26,2015-10-15
77,2015-04-05,27,2015-12-22
84,2015-10-26,28,2016-01-25
2,2015-10-13,30,2016-06-01
199,2015-08-25,33,2016-03-05
181,2015-08-03,35,2016-01-31
24,2016-03-13,44,2016-05-21
180,2015-03-16,48,2016-04-08
155,2015-01-12,49,2015-06-20
100,2015-02-11,52,2016-02-28
75,2015-08-27,53,2016-02-13
154,2015-01-25,62,2016-02-20
99,2015-07-03,65,2016-02-25
15,2016-05-09,69,2016-08-31
22,2015-07-09,70,2015-08-10
178,2015-01-24,74,2016-06-13
153,2015-09-05,75,2016-01-28
73,2015-08-08,79,2016-09-12
96,2015-02-19,80,2016-04-28
39,2015-08-17,81,2016-03-21
14,2015-08-16,82,2016-03-20
195,2015-03-19,85,2015-08-06
177,2015-11-05,87,2016-02-27
38,2015-12-14,94,2016-08-07
135,2015-06-06,101,2016-06-08
112,2015-04-23,104,2015-07-23
119,2015-02-11,105,2016-04-01
19,2015-05-28,109,2015-12-20
134,2015-12-15,114,2016-02-16
111,2015-04-09,117,2015-05-22
118,2015-05-26,118,2016-02-24
93,2015-11-28,119,2015-12-24
133,2015-01-21,127,2015-02-13
110,2015-07-08,130,2016-02-26
117,2015-03-17,131,2015-03-22
92,2015-02-28,132,2016-04-19
132,2015-05-26,140,2016-02-22
116,2015-04-14,144,2016-02-29
91,2015-10-13,145,2016-03-20
34,2015-04-15,146,2016-01-30
9,2015-07-23,147,2016-07-24
32,2016-03-21,148,2016-05-28
188,2015-03-22,152,2016-03-10
115,2016-08-29,157,2016-09-28
33,2016-02-20,159,2016-07-20
56,2015-01-17,160,2016-07-18
31,2015-08-29,161,2015-11-13
55,2015-04-12,173,2016-01-26
129,2015-10-15,179,2016-07-31
47,2016-01-22,185,2016-02-13
54,2015-01-27,186,2015-07-18
29,2015-02-20,187,2015-08-12
185,2015-04-03,191,2016-01-11
151,2015-04-08,193,2016-09-11
105,2015-05-05,195,2016-04-16
46,2015-11-07,198,2015-12-15
28,2015-10-28,200,2016-07-01
168,2015-10-03,204,2016-02-18
127,2016-01-07,209,2016-04-10
70,2015-07-31,210,2016-04-30
167,2016-05-27,217,2016-07-29
126,2016-01-24,222,2016-03-31
51,2015-06-05,225,2016-06-02
148,2016-05-03,232,2016-07-06
125,2015-11-26,235,2016-02-11
50,2015-11-09,238,2015-11-20
140,2015-07-29,244,2016-03-07
49,2015-02-25,251,2016-04-25
8,2015-10-25,252,2016-05-23
164,2015-02-08,256,2016-02-14
139,2015-12-30,257,2016-08-09
66,2015-05-15,262,2016-01-26
41,2015-11-27,263,2016-02-28
64,2015-04-29,264,2016-01-21
163,2015-07-28,269,2016-08-27
122,2015-08-29,274,2016-09-25
65,2015-08-26,275,2015-12-08
63,2015-03-07,277,2016-09-20
162,2015-03-08,282,2015-12-30
137,2015-03-09,283,2016-08-05
160,2015-05-17,284,2015-10-10
80,2016-06-15,288,2016-07-20
87,2015-03-23,289,2015-09-18
184,2015-10-14,296,2016-05-30
